book_id,label
ALL’S WELL THAT ENDS WELL,0 ALL’S WELL THAT ENDS WELL
THE TRAGEDY OF ANTONY AND CLEOPATRA,1 THE TRAGEDY OF ANTONY AND CLEOPATRA
THE COMEDY OF ERRORS,2 THE COMEDY OF ERRORS
CYMBELINE,3 CYMBELINE
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK","4 THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
THE FIRST PART OF KING HENRY THE FOURTH,5 THE FIRST PART OF KING HENRY THE FOURTH
THE SECOND PART OF KING HENRY IV,6 THE SECOND PART OF KING HENRY IV
THE FIRST PART OF HENRY THE SIXTH,7 THE FIRST PART OF HENRY THE SIXTH
THE SECOND PART OF KING HENRY THE SIXTH,8 THE SECOND PART OF KING HENRY THE SIXTH
THE THIRD PART OF KING HENRY THE SIXTH,9 THE THIRD PART OF KING HENRY THE SIXTH
THE LIFE AND DEATH OF KING JOHN,10 THE LIFE AND DEATH OF KING JOHN
THE TRAGEDY OF JULIUS CAESAR,11 THE TRAGEDY OF JULIUS CAESAR
THE TRAGEDY OF KING LEAR,12 THE TRAGEDY OF KING LEAR
THE TRAGEDY OF MACBETH,13 THE TRAGEDY OF MACBETH
THE MERCHANT OF VENICE,14 THE MERCHANT OF VENICE
A MIDSUMMER NIGHT’S DREAM,15 A MIDSUMMER NIGHT’S DREAM
"THE TRAGEDY OF OTHELLO, THE MOOR OF VENICE","16 THE TRAGEDY OF OTHELLO, THE MOOR OF VENICE"
THE TRAGEDY OF ROMEO AND JULIET,17 THE TRAGEDY OF ROMEO AND JULIET
